task,policy_id,source,prune_fraction,ppl,acc,num_pruned_modules,plan_json
resnet50,1,real,0.035414308765995,,0.625,10,"{""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.8723095866665014, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.7050843599971903, ""resnet.encoder.stages.1.layers.1.layer.0.convolution"": 0.8988254774890283, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.6664527866077362, ""resnet.encoder.stages.1.layers.2.layer.2.convolution"": 0.8340699763760944, ""resnet.encoder.stages.1.layers.3.layer.2.convolution"": 0.527900240145777, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.6548656834864585, ""resnet.encoder.stages.2.layers.0.layer.2.convolution"": 0.8318687550757775, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.6110444456812364, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.489603110201117}"
resnet50,2,synthetic,0.0859961403623241,,0.875,10,"{""classifier.1"": 0.788048285660845, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.6115801598845076, ""resnet.encoder.stages.2.layers.0.shortcut.convolution"": 0.7611478681707049, ""resnet.encoder.stages.2.layers.1.layer.0.convolution"": 0.8560036251440972, ""resnet.encoder.stages.2.layers.3.layer.1.convolution"": 0.6010360174806535, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.4756102130497829, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.6721593965277068, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.4610793269330113, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.6644968268825457, ""resnet.encoder.stages.3.layers.2.layer.2.convolution"": 0.8381312812416424}"
resnet50,2,real,0.0859961403623241,,0.75,10,"{""classifier.1"": 0.788048285660845, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.6115801598845076, ""resnet.encoder.stages.2.layers.0.shortcut.convolution"": 0.7611478681707049, ""resnet.encoder.stages.2.layers.1.layer.0.convolution"": 0.8560036251440972, ""resnet.encoder.stages.2.layers.3.layer.1.convolution"": 0.6010360174806535, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.4756102130497829, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.6721593965277068, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.4610793269330113, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.6644968268825457, ""resnet.encoder.stages.3.layers.2.layer.2.convolution"": 0.8381312812416424}"
resnet50,3,synthetic,0.1196763726432495,,0.625,10,"{""classifier.1"": 0.7362233629775801, ""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.7118060524897684, ""resnet.encoder.stages.0.layers.1.layer.1.convolution"": 0.8505151716615322, ""resnet.encoder.stages.1.layers.0.shortcut.convolution"": 0.7297067548471968, ""resnet.encoder.stages.1.layers.3.layer.0.convolution"": 0.7203334731262636, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.7052278035841643, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.6271552395248441, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.7571737021653047, ""resnet.encoder.stages.3.layers.0.layer.1.convolution"": 0.4775967791611313, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.5684592656946837}"
resnet50,3,real,0.1196763726432495,,0.75,10,"{""classifier.1"": 0.7362233629775801, ""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.7118060524897684, ""resnet.encoder.stages.0.layers.1.layer.1.convolution"": 0.8505151716615322, ""resnet.encoder.stages.1.layers.0.shortcut.convolution"": 0.7297067548471968, ""resnet.encoder.stages.1.layers.3.layer.0.convolution"": 0.7203334731262636, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.7052278035841643, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.6271552395248441, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.7571737021653047, ""resnet.encoder.stages.3.layers.0.layer.1.convolution"": 0.4775967791611313, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.5684592656946837}"
resnet50,4,synthetic,0.05476017797497,,0.25,10,"{""resnet.encoder.stages.0.layers.2.layer.0.convolution"": 0.5648982681196941, ""resnet.encoder.stages.0.layers.2.layer.1.convolution"": 0.6047715182910072, ""resnet.encoder.stages.1.layers.3.layer.1.convolution"": 0.47741729538911293, ""resnet.encoder.stages.1.layers.3.layer.2.convolution"": 0.593928122316514, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.47798220823598214, ""resnet.encoder.stages.2.layers.1.layer.0.convolution"": 0.6491209351519969, ""resnet.encoder.stages.2.layers.1.layer.1.convolution"": 0.7271716988569376, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.8312005483308498, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.8007435379488639, ""resnet.encoder.stages.3.layers.0.layer.1.convolution"": 0.6567633875827681}"
resnet50,4,real,0.05476017797497,,0.625,10,"{""resnet.encoder.stages.0.layers.2.layer.0.convolution"": 0.5648982681196941, ""resnet.encoder.stages.0.layers.2.layer.1.convolution"": 0.6047715182910072, ""resnet.encoder.stages.1.layers.3.layer.1.convolution"": 0.47741729538911293, ""resnet.encoder.stages.1.layers.3.layer.2.convolution"": 0.593928122316514, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.47798220823598214, ""resnet.encoder.stages.2.layers.1.layer.0.convolution"": 0.6491209351519969, ""resnet.encoder.stages.2.layers.1.layer.1.convolution"": 0.7271716988569376, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.8312005483308498, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.8007435379488639, ""resnet.encoder.stages.3.layers.0.layer.1.convolution"": 0.6567633875827681}"
resnet50,5,synthetic,0.0421197391105768,,0.0,10,"{""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.6747517499853372, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.4734451512041956, ""resnet.encoder.stages.1.layers.0.layer.2.convolution"": 0.5050843049448602, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.6331288808657989, ""resnet.encoder.stages.2.layers.1.layer.0.convolution"": 0.5680621671826938, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.8068842331392319, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.5428666777937248, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.4583300507395901, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.8862349183043323, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.7305179725005768}"
resnet50,5,real,0.0421197391105768,,0.0,10,"{""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.6747517499853372, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.4734451512041956, ""resnet.encoder.stages.1.layers.0.layer.2.convolution"": 0.5050843049448602, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.6331288808657989, ""resnet.encoder.stages.2.layers.1.layer.0.convolution"": 0.5680621671826938, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.8068842331392319, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.5428666777937248, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.4583300507395901, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.8862349183043323, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.7305179725005768}"
resnet50,6,synthetic,0.0473244780831302,,0.625,10,"{""resnet.encoder.stages.0.layers.0.layer.1.convolution"": 0.7657639811031692, ""resnet.encoder.stages.0.layers.1.layer.2.convolution"": 0.8757126134589982, ""resnet.encoder.stages.0.layers.2.layer.0.convolution"": 0.8895326965347417, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.8029429974184044, ""resnet.encoder.stages.1.layers.3.layer.1.convolution"": 0.5406966712795467, ""resnet.encoder.stages.2.layers.0.shortcut.convolution"": 0.8570874968813837, ""resnet.encoder.stages.2.layers.1.layer.1.convolution"": 0.45957539000120856, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.6448839276752056, ""resnet.encoder.stages.2.layers.5.layer.0.convolution"": 0.5767800958993059, ""resnet.encoder.stages.3.layers.1.layer.2.convolution"": 0.5029787136355643}"
