task,policy_id,source,prune_fraction,ppl,acc,num_pruned_modules,plan_json
resnet50,5,synthetic,0.04211973911057686,,0.0,10,"{""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.6747517499853372, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.4734451512041956, ""resnet.encoder.stages.1.layers.0.layer.2.convolution"": 0.5050843049448602, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.6331288808657989, ""resnet.encoder.stages.2.layers.1.layer.0.convolution"": 0.5680621671826938, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.8068842331392319, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.5428666777937248, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.4583300507395901, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.8862349183043323, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.7305179725005768}"
resnet50,5,real,0.04211973911057686,,0.0,10,"{""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.6747517499853372, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.4734451512041956, ""resnet.encoder.stages.1.layers.0.layer.2.convolution"": 0.5050843049448602, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.6331288808657989, ""resnet.encoder.stages.2.layers.1.layer.0.convolution"": 0.5680621671826938, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.8068842331392319, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.5428666777937248, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.4583300507395901, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.8862349183043323, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.7305179725005768}"
resnet50,6,synthetic,0.04732447808313027,,0.625,10,"{""resnet.encoder.stages.0.layers.0.layer.1.convolution"": 0.7657639811031692, ""resnet.encoder.stages.0.layers.1.layer.2.convolution"": 0.8757126134589982, ""resnet.encoder.stages.0.layers.2.layer.0.convolution"": 0.8895326965347417, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.8029429974184044, ""resnet.encoder.stages.1.layers.3.layer.1.convolution"": 0.5406966712795467, ""resnet.encoder.stages.2.layers.0.shortcut.convolution"": 0.8570874968813837, ""resnet.encoder.stages.2.layers.1.layer.1.convolution"": 0.45957539000120856, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.6448839276752056, ""resnet.encoder.stages.2.layers.5.layer.0.convolution"": 0.5767800958993059, ""resnet.encoder.stages.3.layers.1.layer.2.convolution"": 0.5029787136355643}"
resnet50,6,real,0.04732447808313027,,0.875,10,"{""resnet.encoder.stages.0.layers.0.layer.1.convolution"": 0.7657639811031692, ""resnet.encoder.stages.0.layers.1.layer.2.convolution"": 0.8757126134589982, ""resnet.encoder.stages.0.layers.2.layer.0.convolution"": 0.8895326965347417, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.8029429974184044, ""resnet.encoder.stages.1.layers.3.layer.1.convolution"": 0.5406966712795467, ""resnet.encoder.stages.2.layers.0.shortcut.convolution"": 0.8570874968813837, ""resnet.encoder.stages.2.layers.1.layer.1.convolution"": 0.45957539000120856, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.6448839276752056, ""resnet.encoder.stages.2.layers.5.layer.0.convolution"": 0.5767800958993059, ""resnet.encoder.stages.3.layers.1.layer.2.convolution"": 0.5029787136355643}"
resnet50,7,synthetic,0.06077549104980639,,0.25,10,"{""classifier.1"": 0.8000826698208885, ""resnet.encoder.stages.0.layers.1.layer.1.convolution"": 0.70849022521043, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.8008808142306255, ""resnet.encoder.stages.1.layers.3.layer.0.convolution"": 0.49850270670056795, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.6938395671663289, ""resnet.encoder.stages.2.layers.0.layer.1.convolution"": 0.4922556057520312, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.7942229149344482, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.8003813884521052, ""resnet.encoder.stages.3.layers.1.layer.0.convolution"": 0.7944320497358266, ""resnet.encoder.stages.3.layers.2.layer.1.convolution"": 0.8409909399995501}"
resnet50,7,real,0.06077549104980639,,0.875,10,"{""classifier.1"": 0.8000826698208885, ""resnet.encoder.stages.0.layers.1.layer.1.convolution"": 0.70849022521043, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.8008808142306255, ""resnet.encoder.stages.1.layers.3.layer.0.convolution"": 0.49850270670056795, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.6938395671663289, ""resnet.encoder.stages.2.layers.0.layer.1.convolution"": 0.4922556057520312, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.7942229149344482, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.8003813884521052, ""resnet.encoder.stages.3.layers.1.layer.0.convolution"": 0.7944320497358266, ""resnet.encoder.stages.3.layers.2.layer.1.convolution"": 0.8409909399995501}"
resnet50,8,synthetic,0.06006278812396012,,0.375,10,"{""classifier.1"": 0.8374494085734185, ""resnet.encoder.stages.1.layers.1.layer.0.convolution"": 0.4822369989899706, ""resnet.encoder.stages.1.layers.1.layer.1.convolution"": 0.7078198361449672, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.7388406397925577, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.7709500799685218, ""resnet.encoder.stages.1.layers.3.layer.2.convolution"": 0.7935164737364415, ""resnet.encoder.stages.2.layers.1.layer.1.convolution"": 0.5340403936571657, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.5865685823946779, ""resnet.encoder.stages.3.layers.2.layer.1.convolution"": 0.8412514388075881, ""resnet.encoder.stages.3.layers.2.layer.2.convolution"": 0.6900319071437864}"
resnet50,8,real,0.06006278812396012,,0.875,10,"{""classifier.1"": 0.8374494085734185, ""resnet.encoder.stages.1.layers.1.layer.0.convolution"": 0.4822369989899706, ""resnet.encoder.stages.1.layers.1.layer.1.convolution"": 0.7078198361449672, ""resnet.encoder.stages.1.layers.1.layer.2.convolution"": 0.7388406397925577, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.7709500799685218, ""resnet.encoder.stages.1.layers.3.layer.2.convolution"": 0.7935164737364415, ""resnet.encoder.stages.2.layers.1.layer.1.convolution"": 0.5340403936571657, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.5865685823946779, ""resnet.encoder.stages.3.layers.2.layer.1.convolution"": 0.8412514388075881, ""resnet.encoder.stages.3.layers.2.layer.2.convolution"": 0.6900319071437864}"
resnet50,9,synthetic,0.045873977057992434,,0.5,10,"{""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.890234831767891, ""resnet.encoder.stages.1.layers.0.layer.0.convolution"": 0.847218935879158, ""resnet.encoder.stages.1.layers.0.shortcut.convolution"": 0.6170380958527832, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.5407083735201051, ""resnet.encoder.stages.2.layers.1.layer.1.convolution"": 0.7109458359242208, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.6197035429770541, ""resnet.encoder.stages.2.layers.2.layer.1.convolution"": 0.5783730320492445, ""resnet.encoder.stages.2.layers.5.layer.0.convolution"": 0.7797418668487632, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.8387351033374859, ""resnet.encoder.stages.3.layers.1.layer.2.convolution"": 0.5903067259134646}"
resnet50,9,real,0.045873977057992434,,0.75,10,"{""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.890234831767891, ""resnet.encoder.stages.1.layers.0.layer.0.convolution"": 0.847218935879158, ""resnet.encoder.stages.1.layers.0.shortcut.convolution"": 0.6170380958527832, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.5407083735201051, ""resnet.encoder.stages.2.layers.1.layer.1.convolution"": 0.7109458359242208, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.6197035429770541, ""resnet.encoder.stages.2.layers.2.layer.1.convolution"": 0.5783730320492445, ""resnet.encoder.stages.2.layers.5.layer.0.convolution"": 0.7797418668487632, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.8387351033374859, ""resnet.encoder.stages.3.layers.1.layer.2.convolution"": 0.5903067259134646}"
